State_A,State_B,Driving_Distance_m,Driving_Time_s,Flight_Distance_m,Flight_Time_s
Florida,Michigan,1644858.3,69435.9,1377001.0049272608,5832.004256162516
Florida,Minnesota,2162658.4,91463.1,1786541.7896521823,7566.529932644536
Florida,Mississippi,694705.8,29734.2,583780.0608517013,2472.4802577248524
Florida,Missouri,1391800.2,62090.3,1157449.1259455734,4902.137474593017
Florida,Montana,3607059.1,148138.2,2979057.5526374667,12617.184928817507
Florida,Nebraska,1894125.4,82811.6,1612075.0876523964,6827.612135939561
Florida,Nevada,3986094.3,163544.0,3371086.247753253,14277.54175519025
Florida,New Hampshire,2169448.3,94239.7,1822022.1357988145,7716.79963397145
Florida,New Jersey,1669492.5,70750.5,1396462.6145546064,5914.429896937157
Florida,New Mexico,2365588.2,96518.1,2103554.5089239064,8909.172037795368
Florida,New York,1977397.7,84248.6,1662447.525081908,7040.954223876316
Florida,North Carolina,978683.5,40800.5,799503.8997226823,3386.13416353136
Florida,North Dakota,2850997.1,117167.2,2302381.395584312,9751.26238129826
Florida,Ohio,1316271.5,57835.4,1075784.769196082,4556.264904830464
Florida,Oklahoma,1606897.4,66050.3,1354629.9654057685,5737.25632407149
Florida,Oregon,4675850.2,183712.0,3720520.971053348,15757.500583284767
Florida,Pennsylvania,1572463.2,66454.2,1285469.925293619,5444.343213008269
Florida,Rhode Island,2040734.2,88072.7,1710609.9862631038,7244.936412408439
Florida,South Carolina,609097.6,28680.5,507497.0907229254,2149.399443061802
Florida,South Dakota,2518798.2,105624.4,2090172.6770349864,8852.496043912884
Florida,Tennessee,785909.8,34119.9,685117.7526201542,2901.675187567712
Florida,Texas,1401945.9,57413.7,1278271.3124715285,5413.85497046765
Florida,Utah,3439840.6,135476.3,2736942.4282968366,11591.75616690425
Florida,Vermont,2254892.2,97310.7,1851581.3358977176,7841.991540272687
Florida,Virginia,1212827.7,50327.7,1021721.7591144583,4327.29215624947
Florida,Washington,4772145.7,187185.8,3767761.9573509125,15957.580054662687
Florida,West Virginia,1210146.5,53445.6,922201.2209373548,3905.793406322914
Florida,Wisconsin,1753838.0,75347.7,1484255.0350980838,6286.256619238943
Florida,Wyoming,2605244.1,109554.3,2191019.306285419,9279.611179561774
Georgia,Hawaii,,,7222721.113639031,30590.348246000598
Georgia,Idaho,3499273.1,136975.8,2937302.450582429,12440.339790702052
Georgia,Illinois,976643.0,41570.6,815452.6481675869,3453.6818040038975
Georgia,Indiana,809898.4,35137.4,678887.7924383532,2875.2894738565547
Georgia,Iowa,1454922.8,61966.3,1178108.369606492,4989.635447745143
Georgia,Kansas,1389387.8,57992.7,1153061.8957360617,4883.5562642939085
Georgia,Kentucky,609669.6,26924.5,490848.13074570533,2078.88620080534
