indicator_id,indicator_name,unit,workbook,sheet,min_year,max_year,observations
total,Total energy CO2 emissions,million metric tons CO2,按来源划分的二氧化碳排放总量.xlsx,Total,1960,2023,3328
total,Total energy average price,dollars per million Btu,按最终用途部门划分的能源总价格.xlsx,Total,1970,2023,2808
total,Total energy total expenditures,million dollars,按最终用途部门分列的能源总支出.xlsx,Total,1970,2023,2808
total,Electricity total consumption (electricity sales to ultimate customers),million kilowatthours,向最终客户销售电力、总和住宅、总和人均.xlsx,Total,1960,2023,3328
total-consumption,Total energy consumption,billion Btu,按最终用途部门划分的总能源消耗.xlsx,Total consumption,1960,2023,3328
total-consumption,Total energy consumption per capita,million Btu,按最终用途部门分列的人均能源消耗总量.xlsx,Total consumption,1960,2023,3328
total-per-capita,Electricity total consumption (electricity sales to ultimate customers) per capita,kilowatthours,向最终客户销售电力、总和住宅、总和人均.xlsx,Total per capita,1960,2023,3328
total-population,Resident population including armed forces,thousand,能源系列指标.xlsx,Total population,1960,2023,3328
total-renewable-energy,Renewable energy total consumption,billion Btu,按来源划分的一次能源消耗.xlsx,Total renewable energy,1960,2023,3328
transportation,Total energy CO2 emissions for the transportation sector,million metric tons of CO2,按部门划分的二氧化碳排放总量.xlsx,Transportation,1960,2023,3328
transportation-sector,Total energy consumption in the transportation sector,billion Btu,按最终用途部门划分的总能源消耗.xlsx,Transportation sector,1960,2023,3328
transportation-sector,Total energy average price in the transportation sector,dollars per million Btu,按最终用途部门划分的能源总价格.xlsx,Transportation sector,1970,2023,2808
transportation-sector,Total energy expenditures in the transportation sector,million dollars,按最终用途部门分列的能源总支出.xlsx,Transportation sector,1970,2023,2808
transportation-sector,Total energy consumption per capita in the transportation sector,million Btu,按最终用途部门分列的人均能源消耗总量.xlsx,Transportation sector,1960,2023,3328
wind-energy,Wind energy total consumption,billion Btu,按来源划分的可再生能源消费.xlsx,Wind energy,1960,2023,3328
